Chapter Number,Verse Number,Translation Verses,Extracted Keywords
1.0,1.0,"In the name of Allah, most benevolent, ever-merciful.","['name', 'merciful', 'ever', 'benevolent', 'allah']"
1.0,2.0,"ALL PRAISE BE to Allah, Lord of all the worlds,","['worlds', 'praise', 'lord', 'allah']"
1.0,3.0,"Most beneficent, ever-merciful,","['merciful', 'ever', 'beneficent']"
1.0,4.0,King of the Day of Judgement.,"['king', 'judgement', 'day']"
1.0,5.0,"You alone we worship, and to You alone turn for help.","['alone turn', 'alone', 'worship', 'help']"
1.0,6.0,"Guide us (O Lord) to the path that is straight,","['guide us', 'straight', 'path', 'lord']"
1.0,7.0,"The path of those You have blessed, Not of those who have earned Your anger, nor those who have gone astray.","['gone astray', 'path', 'earned', 'blessed', 'anger']"
2.0,1.0,ALIF LAM MIM.,['alif lam mim']
2.0,2.0,"This is The Book free of doubt and involution, a guidance for those who preserve themselves from evil and follow the straight path,","['straight path', 'book free', 'preserve', 'involution', 'guidance', 'follow', 'evil', 'doubt']"
2.0,3.0,"Who believe in the Unknown and fulfil their devotional obligations, and spend in charity of what We have given them;","['devotional obligations', 'unknown', 'spend', 'given', 'fulfil', 'charity', 'believe']"
2.0,4.0,"Who believe in what has been revealed to you and what was revealed to those before you, and are certain of the Hereafter.","['revealed', 'revealed', 'hereafter', 'certain', 'believe']"
2.0,5.0,They have found the guidance of their Lord and will be successful.,"['successful', 'lord', 'guidance', 'found']"
2.0,6.0,"As for those who deny, it is all the same if you warn them or not, they will not believe.","['warn', 'deny', 'believe']"
2.0,7.0,"God has sealed their hearts and ears, and veiled their eyes. For them is great deprivation.","['great deprivation', 'veiled', 'sealed', 'hearts', 'god', 'eyes', 'ears']"
2.0,8.0,"And there are some who, though they say: ""We believe in God and the Last Day,"" (in reality) do not believe.","['last day ,""', 'though', 'say', 'reality', 'god', 'believe', 'believe']"
2.0,9.0,"They (try to) deceive God and those who believe, yet deceive none but themselves although they do not know.","['yet deceive none', 'deceive god', 'try', 'know', 'believe', 'although']"
2.0,10.0,"Sick are their hearts, and God adds to their malady. For them is suffering for they lie.","['god adds', 'suffering', 'sick', 'malady', 'lie', 'hearts']"
2.0,11.0,"When asked to desist from spreading corruption in the land they say: ""Why, we are reformers.""","['spreading corruption', 'reformers .""', 'say', 'land', 'desist', 'asked']"
2.0,12.0,"Yet they are surely mischief-mongers, even though they do not know.","['surely mischief', 'even though', 'yet', 'mongers', 'know']"
2.0,13.0,"When asked to believe as others do, they say: ""Should we believe like fools?"" And yet they are the fools, even though they do not know.","['believe like fools ?""', 'even though', 'fools', 'believe', 'yet', 'say', 'others', 'know', 'asked']"
2.0,14.0,"When they meet the faithful they say: ""We believe;"" but when alone with the devils (their fellows), they say: ""We are really with you; we were joking.""","['joking .""', 'fellows ),', 'believe ;""', 'say', 'say', 'really', 'meet', 'faithful', 'devils', 'alone']"
2.0,15.0,But God will turn the joke against them and allow them to sink deeper into evil and wander perplexed in their wickedness.,"['wander perplexed', 'sink deeper', 'wickedness', 'turn', 'joke', 'god', 'evil', 'allow']"
2.0,16.0,"They are indeed those who bartered away good guidance for error and gained nothing from the deal, nor found the right way.","['bartered away good guidance', 'right way', 'gained nothing', 'indeed', 'found', 'error', 'deal']"
2.0,17.0,"They are like a man who kindles a fire, and when its glow has illumined the air God takes away their light leaving them in the dark where they will not be able to see.","['air god takes away', 'light leaving', 'see', 'man', 'like', 'kindles', 'illumined', 'glow', 'fire', 'dark', 'able']"
2.0,18.0,"They are deaf, dumb and blind, and shall never return;","['shall never return', 'dumb', 'deaf', 'blind']"
2.0,19.0,"Or like rain pouring from the sky which hides within it darkness, thunder and lightning. They thrust their fingers into their ears for safety against noise and death. But God surrounds those who believe not from all sides.","['like rain pouring', 'hides within', 'god surrounds', 'thunder', 'thrust', 'sky', 'sides', 'safety', 'noise', 'lightning', 'fingers', 'ears', 'death', 'darkness', 'believe']"
2.0,20.0,Verily the lightning could snatch away their eyes. When it flashes forth they walk in its flare. When darkness returns they stand still. And if the Lord wills so He could take away their hearing and sight; surely God is all-powerful.,"['lightning could snatch away', 'could take away', 'surely god', 'stand still', 'lord wills', 'flashes forth', 'darkness returns', 'walk', 'verily', 'sight', 'powerful', 'hearing', 'flare', 'eyes']"
2.0,21.0,"So, O you people, adore your Lord who created you, as He did those before you, that you could take heed for yourselves and fear Him","['could take heed', 'people', 'lord', 'fear', 'created', 'adore']"
2.0,22.0,"Who made the earth a bed for you, the sky a canopy, and sends forth rain from the skies that fruits may grow -- your food and sustenance. So, do not make another the equal of God knowingly.","['fruits may grow --', 'sends forth rain', 'make another', 'god knowingly', 'sustenance', 'sky', 'skies', 'made', 'food', 'equal', 'earth', 'canopy', 'bed']"
2.0,23.0,"If you are in doubt of what We have revealed to Our votary, then bring a Surah like this, and call any witness, apart from God, you like, if you are truthful.","['surah like', 'like', 'witness', 'votary', 'truthful', 'revealed', 'god', 'doubt', 'call', 'bring', 'apart']"
2.0,24.0,"But if you cannot, as indeed you cannot, then guard yourselves against the Fire whose fuel is men and rocks, which has been prepared for the infidels.","['fire whose fuel', 'rocks', 'prepared', 'men', 'infidels', 'indeed', 'guard', 'cannot', 'cannot']"
2.0,25.0,"Announce to those who believe and have done good deeds, glad tidings of gardens under which rivers flow, and where, when they eat the fruits that grow, they will say: ""Indeed they are the same as we were given before,"" so like in semblance the food would be. And they shall have fair spouses there, and live there abidingly.","['done good deeds', 'rivers flow', 'glad tidings', 'food would', 'fair spouses', 'shall', 'semblance', 'say', 'live', 'like', 'indeed', 'grow', 'given', 'gardens', 'fruits', 'eat', 'believe', 'announce', 'abidingly', ',""']"
2.0,26.0,"God is not loath to advance the similitude of a gnat or a being more contemptible; and those who believe know whatever is from the Lord is true. But those who disbelieve say: ""What does God mean by this parable?"" He causes some to err this way, and some He guides; yet He turns away none but those who transgress,","['turns away none', 'believe know whatever', 'parable ?""', 'disbelieve say', 'god mean', 'god', 'yet', 'way', 'true', 'transgress', 'similitude', 'lord', 'loath', 'guides', 'gnat', 'err', 'contemptible', 'causes', 'advance']"
2.0,27.0,"Who, having sealed it, break God's covenant, dividing what He ordained cohered; and those who spread discord in the land will suffer assuredly.","['suffer assuredly', 'spread discord', 'ordained cohered', 'break god', 'sealed', 'land', 'dividing', 'covenant']"
