Surah Name,Verse Translation,Number Chapter and Verse,Cleaned Text,Stemmed Text,Lemmatized Text
Surah Al-Fatihah,"In the Name of Allah, the Most Beneficent, the Most Merciful.",1:1,name allah beneficent merciful,name allah benefic merci,name allah beneficent merciful
Surah Al-Fatihah,"All the praises and thanks be to Allah, the Lord of the ‘Alamin (mankind, jinns and all that exists).",1:2,praises thanks allah lord alamin mankind jinns exists,prais thank allah lord alamin mankind jinn exist,praise thanks allah lord alamin mankind jinns exists
Surah Al-Fatihah,"The Most Beneficent, the Most Merciful.",1:3,beneficent merciful,benefic merci,beneficent merciful
Surah Al-Fatihah,The Only Owner (and the Only Ruling Judge) of the Day of Recompense (i.e. the Day of Resurrection),1:4,owner ruling judge day recompense ie day resurrection,owner rule judg day recompens ie day resurrect,owner ruling judge day recompense ie day resurrection
Surah Al-Fatihah,"You (Alone) we worship, and You (Alone) we ask for help (for each and everything).",1:5,alone worship alone ask help everything,alon worship alon ask help everyth,alone worship alone ask help everything
Surah Al-Fatihah,Guide us to the Straight Way,1:6,guide us straight way,guid us straight way,guide u straight way
Surah Al-Fatihah,"The Way of those on whom You have bestowed Your Grace, not (the way) of those who earned Your Anger (such as the Jews), nor of those who went astray (such as the Christians).",1:7,way bestowed grace way earned anger jews went astray christians,way bestow grace way earn anger jew went astray christian,way bestowed grace way earned anger jew went astray christian
Surah Al-Baqarah,Alif-Lam-Mim. [These letters are one of the miracles of the Qur’an and none but Allah (Alone) knows their meanings].,2:1,aliflammim letters one miracles quran none allah alone knows meanings,aliflammim letter one miracl quran none allah alon know mean,aliflammim letter one miracle quran none allah alone know meaning
Surah Al-Baqarah,"This is the Book (the Qur’an), whereof there is no doubt, a guidance to those who are Al-Muttaqun [the pious and righteous persons who fear Allah much (abstain from all kinds of sins and evil deeds which He has forbidden) and love Allah much (perform all kinds of good deeds which He has ordained)].",2:2,book quran whereof doubt guidance almuttaqun pious righteous persons fear allah much abstain kinds sins evil deeds forbidden love allah much perform kinds good deeds ordained,book quran whereof doubt guidanc almuttaqun piou righteou person fear allah much abstain kind sin evil deed forbidden love allah much perform kind good deed ordain,book quran whereof doubt guidance almuttaqun pious righteous person fear allah much abstain kind sin evil deed forbidden love allah much perform kind good deed ordained
Surah Al-Baqarah,"Who believe in the Ghaib and perform As-Salat (Iqamat-as-Salat), and spend out of what we have provided for them [i.e. give Zakat , spend on themselves, their parents, their children, their wives, etc., and also give charity to the poor and also in Allah’s Cause – Jihad, etc.].",2:3,believe ghaib perform assalat iqamatassalat spend provided ie give zakat spend parents children wives etc also give charity poor also allahs cause jihad etc,believ ghaib perform assalat iqamatassalat spend provid ie give zakat spend parent children wive etc also give chariti poor also allah caus jihad etc,believe ghaib perform assalat iqamatassalat spend provided ie give zakat spend parent child wife etc also give charity poor also allah cause jihad etc
Surah Al-Baqarah,"And who believe in (the Qur’an and the Sunnah) which has been sent down (revealed) to you (Muhammad Peace be upon him ) and in [the Taurat (Torah) and the Injeel (Gospel), etc.] which were sent down before you and they believe with certainty in the Hereafter. (Resurrection, recompense of their good and bad deeds, Paradise and Hell, etc.).",2:4,believe quran sunnah sent revealed muhammad peace upon taurat torah injeel gospel etc sent believe certainty hereafter resurrection recompense good bad deeds paradise hell etc,believ quran sunnah sent reveal muhammad peac upon taurat torah injeel gospel etc sent believ certainti hereaft resurrect recompens good bad deed paradis hell etc,believe quran sunnah sent revealed muhammad peace upon taurat torah injeel gospel etc sent believe certainty hereafter resurrection recompense good bad deed paradise hell etc
Surah Al-Baqarah,"They are on (true) guidance from their Lord, and they are the successful.",2:5,true guidance lord successful,true guidanc lord success,true guidance lord successful
Surah Al-Baqarah,"Verily, those who disbelieve, it is the same to them whether you (O Muhammad Peace be upon him ) warn them or do not warn them, they will not believe.",2:6,verily disbelieve whether muhammad peace upon warn warn believe,verili disbeliev whether muhammad peac upon warn warn believ,verily disbelieve whether muhammad peace upon warn warn believe
