Surah Name,Verse Translation,Number Chapter and Verse,Extracted Keywords
Surah Al-Fatihah,"In the Name of Allah, the Most Beneficent, the Most Merciful.",1:1,"['name', 'merciful', 'beneficent', 'allah']"
Surah Al-Fatihah,"All the praises and thanks be to Allah, the Lord of the ‘Alamin (mankind, jinns and all that exists).",1:2,"['‘ alamin', 'exists ).', 'thanks', 'praises', 'mankind', 'lord', 'jinns', 'allah']"
Surah Al-Fatihah,"The Most Beneficent, the Most Merciful.",1:3,"['merciful', 'beneficent']"
Surah Al-Fatihah,The Only Owner (and the Only Ruling Judge) of the Day of Recompense (i.e. the Day of Resurrection),1:4,"['ruling judge', 'resurrection', 'recompense', 'owner', 'e', 'day', 'day']"
Surah Al-Fatihah,"You (Alone) we worship, and You (Alone) we ask for help (for each and everything).",1:5,"['everything ).', 'worship', 'help', 'ask', 'alone', 'alone']"
Surah Al-Fatihah,Guide us to the Straight Way,1:6,"['straight way', 'guide us']"
Surah Al-Fatihah,"The Way of those on whom You have bestowed Your Grace, not (the way) of those who earned Your Anger (such as the Jews), nor of those who went astray (such as the Christians).",1:7,"['went astray', 'jews ),', 'christians ).', 'way', 'way', 'grace', 'earned', 'bestowed', 'anger']"
Surah Al-Baqarah,Alif-Lam-Mim. [These letters are one of the miracles of the Qur’an and none but Allah (Alone) knows their meanings].,2:1,"['qur ’', 'meanings ].', 'one', 'none', 'miracles', 'mim', 'letters', 'lam', 'knows', 'alone', 'allah', 'alif']"
Surah Al-Baqarah,"This is the Book (the Qur’an), whereof there is no doubt, a guidance to those who are Al-Muttaqun [the pious and righteous persons who fear Allah much (abstain from all kinds of sins and evil deeds which He has forbidden) and love Allah much (perform all kinds of good deeds which He has ordained)].",2:2,"['love allah much', 'fear allah much', 'righteous persons', 'qur ’', 'ordained )].', 'good deeds', 'evil deeds', '), whereof', 'sins', 'pious', 'perform', 'muttaqun', 'kinds', 'kinds', 'guidance', 'forbidden', 'doubt', 'book', 'al', 'abstain']"
Surah Al-Baqarah,"Who believe in the Ghaib and perform As-Salat (Iqamat-as-Salat), and spend out of what we have provided for them [i.e. give Zakat , spend on themselves, their parents, their children, their wives, etc., and also give charity to the poor and also in Allah’s Cause – Jihad, etc.].",2:3,"['cause – jihad', 'also give charity', 'give zakat', 'allah ’', 'salat ),', 'etc .,', 'also', 'salat', 'etc', 'wives', 'spend', 'spend', 'provided', 'poor', 'perform', 'parents', 'iqamat', 'ghaib', 'e', 'children', 'believe', '].']"
Surah Al-Baqarah,"And who believe in (the Qur’an and the Sunnah) which has been sent down (revealed) to you (Muhammad Peace be upon him ) and in [the Taurat (Torah) and the Injeel (Gospel), etc.] which were sent down before you and they believe with certainty in the Hereafter. (Resurrection, recompense of their good and bad deeds, Paradise and Hell, etc.).",2:4,"['gospel ), etc .]', 'qur ’', 'muhammad peace', 'bad deeds', 'etc', 'upon', 'torah', 'taurat', 'sunnah', 'sent', 'sent', 'revealed', 'resurrection', 'recompense', 'paradise', 'injeel', 'hereafter', 'hell', 'good', 'certainty', 'believe', 'believe', ').']"
Surah Al-Baqarah,"They are on (true) guidance from their Lord, and they are the successful.",2:5,"['true', 'successful', 'lord', 'guidance']"
Surah Al-Baqarah,"Verily, those who disbelieve, it is the same to them whether you (O Muhammad Peace be upon him ) warn them or do not warn them, they will not believe.",2:6,"['muhammad peace', 'whether', 'warn', 'warn', 'verily', 'upon', 'disbelieve', 'believe']"
Surah Al-Baqarah,"Allah has set a seal on their hearts and on their hearings, (i.e. they are closed from accepting Allah’s Guidance), and on their eyes there is a covering. Theirs will be a great torment.",2:7,"['accepting allah ’', 'guidance ),', 'great torment', 'allah', 'set', 'seal', 'hearts', 'hearings', 'eyes', 'e', 'covering', 'closed']"
Surah Al-Baqarah,"And of mankind, there are some (hypocrites) who say: “We believe in Allah and the Last Day” while in fact they believe not.",2:8,"['last day ”', '“', 'say', 'mankind', 'hypocrites', 'fact', 'believe', 'believe', 'allah']"
Surah Al-Baqarah,"They (think to) deceive Allah and those who believe, while they only deceive themselves, and perceive (it) not!",2:9,"['deceive allah', 'deceive', 'think', 'perceive', 'believe']"
Surah Al-Baqarah,In their hearts is a disease (of doubt and hypocrisy) and Allah has increased their disease. A painful torment is theirs because they used to tell lies.,2:10,"['tell lies', 'painful torment', 'used', 'increased', 'hypocrisy', 'hearts', 'doubt', 'disease', 'disease', 'allah']"
Surah Al-Baqarah,"And when it is said to them: “Make not mischief on the earth,” they say: “We are only peacemakers.”",2:11,"['peacemakers .”', 'earth ,”', '“ make', '“', 'say', 'said', 'mischief']"
Surah Al-Baqarah,"Verily! They are the ones who make mischief, but they perceive not.",2:12,"['make mischief', 'verily', 'perceive', 'ones']"
Surah Al-Baqarah,"And when it is said to them (hypocrites): “Believe as the people (followers of Muhammad Peace be upon him , Al-Ansar and Al-Muhajirun) have believed,” they say: “Shall we believe as the fools have believed?” Verily, they are the fools, but they know not.",2:13,"['hypocrites ): “ believe', 'believed ?” verily', '“ shall', 'believed ,”', 'muhammad peace', 'believe', 'upon', 'say', 'said', 'people', 'muhajirun', 'know', 'fools', 'fools', 'followers', 'ansar', 'al', 'al']"
Surah Al-Baqarah,"And when they meet those who believe, they say: “We believe,” but when they are alone with their Shayatin (devils – polytheists, hypocrites, etc.), they say: “Truly, we are with you; verily, we were but mocking.”",2:14,"['devils – polytheists', 'mocking .”', '“ truly', 'believe ,”', '“', 'believe', 'verily', 'shayatin', 'say', 'say', 'meet', 'hypocrites', 'etc', 'alone', '),']"
Surah Al-Baqarah,Allah mocks at them and gives them increase in their wrong-doings to wander blindly.,2:15,"['wander blindly', 'allah mocks', 'wrong', 'increase', 'gives', 'doings']"
Surah Al-Baqarah,"These are they who have purchased error for guidance, so their commerce was profitless. And they were not guided.",2:16,"['purchased error', 'profitless', 'guided', 'guidance', 'commerce']"
Surah Al-Baqarah,"Their likeness is as the likeness of one who kindled a fire; then, when it lighted all around him, Allah took away their light and left them in darkness. (So) they could not see.",2:17,"['allah took away', 'see', 'one', 'likeness', 'likeness', 'lighted', 'light', 'left', 'kindled', 'fire', 'darkness', 'could', 'around']"
Surah Al-Baqarah,"They are deaf, dumb, and blind, so they return not (to the Right Path).",2:18,"['right path ).', 'return', 'dumb', 'deaf', 'blind']"
Surah Al-Baqarah,"Or like a rainstorm from the sky, wherein is darkness, thunder, and lightning. They thrust their fingers in their ears to keep out the stunning thunderclap for fear of death. But Allah ever encompasses the disbelievers (i.e. Allah will gather them all together).",2:19,"['allah ever encompasses', 'together ).', 'stunning thunderclap', 'allah', 'wherein', 'thunder', 'thrust', 'sky', 'rainstorm', 'like', 'lightning', 'keep', 'gather', 'fingers', 'fear', 'ears', 'e', 'disbelievers', 'death', 'darkness']"
Surah Al-Baqarah,"The lightning almost snatches away their sight, whenever it flashes for them, they walk therein, and when darkness covers them, they stand still. And if Allah willed, He could have taken away their hearing and their sight. Certainly, Allah has power over all things.",2:20,"['lightning almost snatches away', 'taken away', 'walk therein', 'stand still', 'darkness covers', 'allah willed', 'allah', 'whenever', 'things', 'sight', 'sight', 'power', 'hearing', 'flashes', 'could', 'certainly']"
Surah Al-Baqarah,"O mankind! Worship your Lord (Allah), Who created you and those who were before you so that you may become Al-Muttaqun (the pious – see V.2:2).",2:21,"['pious – see v', 'may become al', 'allah ),', '2 ).', '2', 'worship', 'muttaqun', 'mankind', 'lord', 'created']"
Surah Al-Baqarah,"Who has made the earth a resting place for you, and the sky as a canopy, and sent down water (rain) from the sky and brought forth therewith fruits as a provision for you. Then do not set up rivals unto Allah (in worship) while you know (that He Alone has the right to be worshipped).",2:22,"['brought forth therewith fruits', 'rivals unto allah', 'worshipped ).', 'resting place', 'worship', 'water', 'sky', 'sky', 'set', 'sent', 'right', 'rain', 'provision', 'made', 'know', 'earth', 'canopy', 'alone']"
